full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
RichardAtCT/claude-code-telegram,2632,2632,386,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
fuergaosi233/claude-code-proxy,2623,2623,384,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
alejandrobalderas/claude-code-from-source,2126,2126,623,-1,-1,1,https://github.com/alejandrobalderas/claude-code-from-source
multica-ai/andrej-karpathy-skills,156662,156662,16058,320,320,29,https://github.com/multica-ai/andrej-karpathy-skills
ding113/claude-code-hub,2924,2924,329,0,0,0,https://github.com/ding113/claude-code-hub
rohitg00/awesome-claude-code-toolkit,1827,1827,581,2,2,1,https://github.com/rohitg00/awesome-claude-code-toolkit
anthropics/skills,141141,141141,16688,71,71,14,https://github.com/anthropics/skills
fazxes/Claude-code,216,216,212,0,0,0,https://github.com/fazxes/Claude-code
Cranot/claude-code-guide,2775,2775,312,0,0,0,https://github.com/Cranot/claude-code-guide
SeemSeam/claude_codex_bridge,2776,2776,275,2,2,0,https://github.com/SeemSeam/claude_codex_bridge
luyao618/Claude-Code-Source-Study,1433,1433,520,3,3,0,https://github.com/luyao618/Claude-Code-Source-Study
AprilNEA/claude-code-source,384,384,616,0,0,0,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,847,847,605,0,0,0,https://github.com/anthropics/claude-code-base-action
https-deeplearning-ai/sc-claude-code-files,519,519,747,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
repowise-dev/claude-code-prompts,1060,1060,367,0,0,0,https://github.com/repowise-dev/claude-code-prompts
JrCx7scC/claude-code-source,369,369,548,0,0,0,https://github.com/JrCx7scC/claude-code-source
guanshan/ClaudeCode,59,59,213,0,0,0,https://github.com/guanshan/ClaudeCode
edmund-io/edmunds-claude-code,1443,1443,285,-1,-1,0,https://github.com/edmund-io/edmunds-claude-code
luongnv89/claude-howto,34265,34265,4188,14,14,2,https://github.com/luongnv89/claude-howto
Pimzino/claude-code-spec-workflow,3744,3744,267,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
Yeachan-Heo/oh-my-claudecode,34904,34904,3192,17,17,4,https://github.com/Yeachan-Heo/oh-my-claudecode
carlvellotti/claude-code-pm-course,2047,2047,330,1,1,1,https://github.com/carlvellotti/claude-code-pm-course
AICoderTudou/claude-code-tudou,501,501,401,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
Windy3f3f3f3f/claude-code-from-scratch,1275,1275,375,1,1,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
andrew-kramer-inno/claude-code-source-build,590,590,525,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
ghuntley/claude-code-source-code-deobfuscation,978,978,550,1,1,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
sickn33/antigravity-awesome-skills,38785,38785,6307,31,31,5,https://github.com/sickn33/antigravity-awesome-skills
feiskyer/claude-code-settings,1525,1525,222,0,0,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,1123,1123,245,0,0,0,https://github.com/sugyan/claude-code-webui
darcyegb/ClaudeCodeAgents,701,701,63,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
wshobson/agents,35968,35968,3910,6,6,0,https://github.com/wshobson/agents
anthropics/claude-plugins-official,27936,27936,2974,28,28,4,https://github.com/anthropics/claude-plugins-official
disler/pi-vs-claude-code,1237,1237,302,5,5,0,https://github.com/disler/pi-vs-claude-code
KPR111/Claude-Code,18,18,329,0,0,0,https://github.com/KPR111/Claude-Code
nanocoai/nanoclaw,29426,29426,12870,10,10,0,https://github.com/nanocoai/nanoclaw
Hyper66666/claude-code-sourcemap,215,215,458,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
centminmod/my-claude-code-setup,2359,2359,223,2,2,0,https://github.com/centminmod/my-claude-code-setup
alirezarezvani/claude-skills,16242,16242,2237,20,20,1,https://github.com/alirezarezvani/claude-skills
Chachamaru127/claude-code-harness,1653,1653,184,14,14,1,https://github.com/Chachamaru127/claude-code-harness
huangjia2019/claude-code-engineering,706,706,262,0,0,0,https://github.com/huangjia2019/claude-code-engineering
jeremylongshore/claude-code-plugins-plus-skills,2242,2242,310,0,0,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
snarktank/ralph,19606,19606,1952,14,14,2,https://github.com/snarktank/ralph
